run,Selection_Threshold,VIF_Threshold,PCA_n_Components,colinearity_threshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
2,0.016,30,40,0.8,0.9947,0.8926,0.8906,0.9212,0.9275,0.9215
3,0.016,30,40,0.8,0.9951,0.9017,0.9024,0.9294,0.9312,0.9283
1,0.016,30,40,0.85,0.9931,0.9064,0.9061,0.931,0.9324,0.9306
2,0.016,30,40,0.85,0.9943,0.8886,0.8877,0.9181,0.9231,0.9181
3,0.016,30,40,0.85,0.9942,0.8985,0.8983,0.9272,0.9289,0.9261
1,0.016,30,50,0.75,0.995,0.9041,0.9025,0.9286,0.9301,0.9283
2,0.016,30,50,0.75,0.9963,0.8928,0.8904,0.9208,0.926,0.9215
3,0.016,30,50,0.75,0.9946,0.9005,0.9003,0.9282,0.9299,0.9272
1,0.016,30,50,0.8,0.9945,0.8955,0.8947,0.9229,0.9242,0.9226
2,0.016,30,50,0.8,0.996,0.8953,0.8925,0.9224,0.9278,0.9226
3,0.016,30,50,0.8,0.9951,0.902,0.9028,0.9295,0.9313,0.9283
1,0.016,30,50,0.85,0.9936,0.8989,0.8988,0.9251,0.9263,0.9249
2,0.016,30,50,0.85,0.9956,0.898,0.8968,0.9247,0.9283,0.9249
3,0.016,30,50,0.85,0.9944,0.899,0.9002,0.9275,0.9299,0.9261
1,0.016,30,60,0.75,0.9957,0.9067,0.9068,0.9311,0.9323,0.9306
2,0.016,30,60,0.75,0.9958,0.8927,0.8874,0.9193,0.9252,0.9204
3,0.016,30,60,0.75,0.9959,0.9057,0.9043,0.9327,0.9344,0.9317
1,0.016,30,60,0.8,0.9953,0.9031,0.9018,0.9286,0.9299,0.9283
2,0.016,30,60,0.8,0.9963,0.8937,0.8892,0.921,0.926,0.9215
3,0.016,30,60,0.8,0.9955,0.8995,0.8986,0.9282,0.93,0.9272
1,0.016,30,60,0.85,0.9949,0.9041,0.9027,0.9296,0.9308,0.9295
2,0.016,30,60,0.85,0.9963,0.8969,0.8932,0.9233,0.9279,0.9238
3,0.016,30,60,0.85,0.9948,0.894,0.8924,0.9251,0.9273,0.9238
1,0.016,30,70,0.75,0.9952,0.9024,0.9023,0.9269,0.9285,0.9261
2,0.016,30,70,0.75,0.9964,0.8916,0.8867,0.9185,0.9247,0.9192
3,0.016,30,70,0.75,0.9963,0.9095,0.9078,0.9336,0.9352,0.9329
1,0.016,30,70,0.8,0.9951,0.9043,0.9031,0.929,0.9306,0.9283
2,0.016,30,70,0.8,0.997,0.8942,0.8906,0.9219,0.9288,0.9226
3,0.016,30,70,0.8,0.9958,0.8994,0.9001,0.9286,0.9307,0.9272
1,0.016,30,70,0.85,0.9951,0.9049,0.9041,0.9291,0.9307,0.9283
